warehouse,item,description,quantity,catalog_id
Namangan,vGg,czfrZHvIIbgsvudz,138,744194
Valdivia,uvSsg,ayWEEpBqSiUvHzmysv,433,865427
Louisville,aCgH,AVg,169,398205
Malabo,KK,vhzSpBzhSNDjZpoTeVhP,368,689327
Sri Jayawardenapura-Kotte,xTq,IDiAe,86,500822
New Delhi,Dga,NEAMmX kdPqjmw,394,799713
Brisbane,lCiqn,DeGGqsZFk,759,160033
Dubai,FGNH,WuyFsxScRXJgDpl,810,333935
Mbabane,KseP,RF,371,960930
Faisalabad,ka dS,cEhqPa,203,85923
Lucknow," zf G",ksLE,252,559683
Zapopan,KyaQp,YBoXHXF,416,927843
Rotterdam,HHlDA,DOgPmz Qs,409,131906
Cairo,ffpV,DjofFiEgV,981,78582
Stuttgart,zd,xxoTChYsv,372,525542
Kuala Lumpur,yJF,lLziPi epfvdLEpnqhP,1000,53488
Townsville,qUgc,ZWJdZJJA,280,725116
Saint Petersburg,BS,VwHmhh,913,696148
Perm,uW,"LyXsTwcFBiJhv ",254,614799
Cairns,zX,TgmhCAJxBlwmT,359,478520
Cusco,Bj,gCWKaNdJ,516,370433
Thessaloniki,ecEvU,YrdDNGSU,971,846582
Las Vegas,Ox,DhpO XQSEAcfUxvAboK,777,979091
Bissau,piP,FZSPcKzDavnoLFljm,51,289154
Mandurah,IKbK,HSfCkOjWjRKziIk,611,728451
Angra do Heroísmo,vRucQ,lIDuUOS RDgUzUN,770,601430
Dresden,jyCm,sGyRsK,444,339749
Birmingham,nSG,OyZbfpYeqXqT vFGBc,517,379952
Fort-de-France,CHIr,FgjhtQJ,795,382523
Detroit,uuwhS,pyOSeEASQ,193,854776
Port Blair,yGPM,YWYAdrXsZbuLMhWrpHg,522,768309
Pago Pago,oC,VaqyWtffVUCc,156,456665
Pittsburgh,OFDfU,NoXjdmNO,14,205347
Ljubljana,yCIy,N fes Ph DjwbZyYrQd,548,787411
Dededo,CY,vTZcXObzqkuH,875,951622
Tokyo,pro,tquUpMDUnGC,398,4291
Port-au-Prince,yyRS,pY,33,206792
Mexico City,UA,ZDFKc,31,302118
São José dos Campos,TB,qblYhmPXhpUpTZJVqglg,397,186429
Novosibirsk," c",QZmqWTwUlSdjTzxaVFP,72,398653
George Town,pzB,beMQUorhhoOjPzoLTIN,644,975836
Bandar Seri Begawan,"vTP ",Jwd zEghaic,892,991584
Cebu City,ihxo,ft,935,306723
Daegu,uREe,mVwDZhNBagaqehgcUn,278,135639
São Tomé,VC,kmJzbzFKBW NiePor,549,594844
Seville,Ky,"ythh ",318,172435
Pretoria,gHXX,pkUCPhDaUS,2,864974
Alor Star,Sl,XwUvxR,45,736122
Lubumbashi,zLiXz,BXKDAHvkeZbBaB,214,23758
Valencia,MrMKy,"rvQ ",827,938237
St. George's,XCMoc,elzizhaysGhDaDkUr,960,477684
Bahía Blanca,bVtRo,QdHoeRBpYjOmEWT,75,276997
Cleveland,LMtsr,NekfWiyaXbPAaiOfNeVh,477,7300
Jerusalem,NxjW,SfZ,904,436382
Oslo,zhMEe,PCPKHx,403,976228
Campinas,FPso,rxMKpNrBSRJiifsAjPME,22,62684
Düsseldorf,kn,nxMJHNQjGP OZHzQiRY,999,148841
Saint Petersburg,h xWe,MFKrGLdNxn,554,597862
Changchun,BiEOQ,uGNviMHGbtHFg,417,768674
Douglas,CWl,IlKXH,128,763399
Multan,vw,EtWOBBT LwqqbyZ,972,342451
Moscow,EMBy,nNVPpmGyvoAqNlzmLij,25,328451
Forked River,xgcXm,MEcwTeJQAaW,47,846437
Freetown,iZi,QhZbWXejRGjumsuZxnp,802,698283
Chiang Mai,UfZSE,erqGygB,964,331655
Rockhampton,XZZIX,XG,119,800453
Odessa,uw,YInmbIp,967,83849
Hai Phong,Ut,pPXzeII,474,895065
Zhengzhou,trQb,DziApVizvZwCTojcLIt,282,806674
Aarhus,Ua,oFUAvjftDAL,583,790610
Cotonou,xo w,HahcrbAtG,975,764064
Port Vila,yAAG,KunzuHJFxJmSwE,424,771400
Amritsar,rr,GXYdhjvLGlKY,237,974136
Ilhéus,ZcCo,sur,250,481332
Adelaide,uaXm,ririlY,248,97856
Minneapolis,oyLht,daRNOxJroXLaBF,432,804765
Belmopan,YT,QNbQcTSBx,848,494363
Samara,YY,zLesTqgRdnAhOvau,521,899876
Porto Alegre,Vvaju,WdEAtKNr,666,106028
Providence,wF,lycfPT lYfYQKfcVvH,588,275232
Graz,btem,OdwEuCsgK,34,531444
Jamestown,PiK,MKEbNobTejKKfHq,785,538319
Memphis,tO,knPWvVqRALpx Bzc,49,791858
Luxor,Ov,kBkVJZlK,526,188395
Sabha,vrw,HowvfUMWO,378,57984
Douala,Ka,SntUSwaOnWBIYMUQRz,914,905599
New York City,MD,ikpcZALVJxQnwXWyAJeh,667,274560
Bratsk,jnSl,TfDziqyXMfEFRUSbDhW,206,112162
Luxembourg (city),TYck,CBsBkSFAX,575,482872
Rosario,uP,XhjGVtc,433,631872
El Paso,km,NRIlnrMGRBQrQhByQo,938,177767
Seattle,FQN,kuYizncSD,523,833619
Lubumbashi,DJP,GhXKEzxYEIHNxBXUbvsv,300,689871
Quebec City,cCa,IThvMWfEXw,757,104203
St. John's,jDDdP,ECXRzOFPUb,233,647962
Harare,qYto,EfTa,370,591238
Frankfurt,bT,SeMDrcPBhIuJBZZZHw,423,271816
Milan,nnrei,xnAJmsjE,966,942705
Libreville,BhDD,GindJcdJlVUChBDE,95,24992
Manila,eV,fYSvpkHW,912,601256
Calgary,iEP,FgHNIJQghW,909,788485
Dubai,Jfh,XBpNjYsgyN,749,937657
Espoo,y eRP,dJhonfPXMyuLTVTTQwCa,928,392882
Nukuʻalofa,BDtW,uUTOVBrMh RMBQWIW,869,841702
Port of Spain,xnt,amPos,479,558442
Guayaquil,jNL,fNpOsVvVmwSGtfAV,351,456953
Jerusalem,VUn,BprdoaFGuchbi,676,26043
Sydney,lUm x,hKNqRYWAkIqVMngdaWUi,206,90080
Santa Cruz de Tenerife,RyM,jps,767,540202
New Delhi,Nv,VNApnjwgJP,661,718892
Montevideo,SbV,OgBAjr,372,237460
Mexico City,"z ",SVbaCntzxntbjvIS,118,322223
Brikama,HrlU,uMLFmH,230,677035
Winnipeg,xj,zZqVpdq CqdenMPGAm,366,867248
Sucre,Iwryo,sEnsnmT,250,645075
Málaga,rHfs,Sos DHKzHVhEdhvH,957,773392
Guangzhou,co,eq,821,707335
Edinburgh,cdOM,wZkAGZRgtBhzjp,436,711095
Montreal,HNqjA,tpRpTWgIcyrszyJN,768,919980
Honolulu,LF,LWYdfwutCYKq,997,629362
Alor Star,ZFrc,kyzJVsud  XBGQYgxR,705,590921
Auckland,io,nxiUqF g,632,914363
Koror,IHtc,CXrgjmpMF,616,144739
Kaliningrad,yEz,UcPhfHVFXscE,612,812928
Stanley,gkmLP,AQdkMyk,925,498494
Chihuahua,HhlO,iJgPBE,556,794143
Nouakchott,bO,yZVQfAuhFpyFIYMGtJe,856,868120
Geneva,oiuQ,XeLRcKDLIxZQxoGurLY,393,953172
Dili,Ff,WGfOu,557,490695
Port Hedland,yDR,dgVQRfJgvhrOhCKsX,136,217625
Riga,mh,pUUeNeFcQWNdPw,286,755933
San Fernando,Ukmud,GIh LtMYqEhbgrRVmo,390,800578
Cayenne,XbDG,Ejp UmxdRPfgqBLiAPx,345,972459
Taichung,YLlam,IvtRLIagkU,521,441159
Manchester,ql,uLKpy,562,795018
Cairns,Hd,HQt,12,466219
Fredericton,QCiZ,lpJLoRBhoByWR,525,170810
Adak,and,cqvPUGWutrjvTdllWjX,558,131408
Hiroshima,Bg,xBzxxvIqbxdnDWnwVWC,77,825820
Odessa,Je,KkWzHSlDpohMZXgBOAh,113,773878
Birmingham,wVCim,ThHo xIzcgvPvyizX,981,352427
Tamale,PpbNW,jkTBbOmPa,180,937671
Kinshasa,hcTls,Dtj,308,290195
Athens,L ou,sIstxuBGsFeR,650,775979
Ipoh,ZJ,MDAavtIRQD,44,247180
Osaka,btu,TwxJvzrT,812,149348
Tel Aviv,fQ,kRFeQB ZwCCqXS,69,232894
Nizhny Novgorod,dug,EQeExOH,215,272895
Cologne,NeDeb,kQ,86,653548
Koulikoro,DCO,vUkQtYHNvitvD,596,261963
Kuwait City,pQf,wCQcKQKxKOuKmfmY,302,428575
Manila,Hxv,rWoCJbXvIeR,258,938676
Tórshavn,YWYqh,RNjxFiojAKbCdYyGQx,196,609699
Durango,TF,KcSzHnNagTBSDGrEImX,302,732452
Hagåtña,nt,HOvUVJpLJbdVCkBO,779,645658
Sarajevo,Asij,Zohnxilb,416,862791
Cotonou,HDsN,HqEDrPSBGiZkwSXoR,275,979630
Chittagong,EhHb,VIIzQTWFIGQItygHDS,328,838773
Wollongong,yAyMh,AADuVIaRDsAGSXVyX,798,550889
Bahía Blanca,CUwNF,ahhOpzoBojaw,739,51310
Patna,opb,JhiuWjoEIwmpfDZts,410,951231
Wonsan,Wpu,XRznpGxBCOgN,593,82452
San Carlos de Bariloche,oqc,mKxirFdldj,391,174057
Lanzhou,xrt,GASCArWGVH,656,564051
Cannes,Cmxt,CumR,919,26688
Tirana,UuD,FYCR,252,15263
Bogotá,biIYL,fbtkN,334,648155
Port of Spain,FfXoJ,QH,663,383279
Kunming,IiQ,CTqvgPWxPNRhJuYjO,482,676956
Makassar,blaR,zOKXNIqGfPckgye,661,258837
Athens,SPJz,Qp HbiKisRSC,95,620798
Aberdeen,dVH,GmisKlrRX,449,335468
Alor Star,BIZD,ZdKkIdJFdcMgLfqrdM,896,321694
Kanpur,tKk," ATalPh TU",947,634155
Muscat,mh,uQou,123,570574
Libreville,jy,VVwKLPzPAXDlO,815,917636
Jerusalem,pZP,ERfAgMHuKuyWAhFDBbbZ,290,83297
Lahore,OU,KdOFBfFk,901,794659
Medina,GOXle,ZgIEXKvh,841,216329
Angra do Heroísmo,gOyTE,tvT,929,584365
Ashgabat,mqzX,GboDwzQaYY hcqs,579,381790
Douglas,Gd,pejdxYDqnZ,390,309725
Puerto Williams,JmYS,Wkh,311,792821
Pekanbaru,Q Z,JVpIQfau,744,317223
Gibraltar,"wO ",cdklmgKN,687,841909
Brikama,rv,jHgOrliEgBDcvuArUJul,814,950702
Pune,Ue,Dio,485,821698
İzmir,NnAX,hrE,936,393284
Kinshasa,KMBXd,wmLqJSxVbHMTWB,722,587869
Palikir,En,fPAeBZkWESOXSeBXO,591,991625
Honolulu,PYl,stplkIuDOxsFPkoEolX,158,656648
Namangan,WGULE,teentwHtnQGLFCPVKIe,795,123392
Nanjing,bQjL,dAxuRpcnNTRTZXCr,169,53507
City of Halifax,uRQ,fiKrjRYCvvhK,654,409658
Labasa,hPcH,nKlnpvpfOSzhB,66,214217
Birkirkara,XW,cxmttmjpOn,839,261771
Baghdad,aH,IvNmbPMnOKlzMvVCBFmR,215,604349
Phnom Penh,WEnZD,YD,139,437850
Paris,MA," jlOgQ",391,388706
Jaipur,aD,FpYFCWhLmRKTmm,904,269297
Tallinn,zabb,L oQexoWagQHvRHf,682,683499
Mandurah,npgj,NHJq,306,723063
Pune,WABPM,fUCUkWrvdHdukk,592,947289
Handan,OFt,dhKKpoaPLzx,566,414024
Osaka,AP,cKpTpnZnNYAgFuXMfdHa,29,280524
Chaguanas,oPz,YM,294,361364
Toronto,BBVLI,AKaZs,276,918859
Innsbruck,unBPY,DCqUnGPrYuvToj,742,34094
Changchun,qiCu,ezGuGeJcY,982,474457
Lviv,rf,qYLwKiPjiZ,723,12247
Kyoto,DwnIS,RgFvKVhAvNczKFH,798,167652
Damascus,Ol,wMvDMSdpIPfoEDeM QuO,429,688649
Thiès,mz,kLKQMOv,787,55536
Tegucigalpa,iFj,rt nzUacgaAyBW,987,415728
Lima,dsNIx,IbAKQFzF,579,500749
Whitehorse,CFpH,MRsAOz,208,537804
Monterrey,BBea,XUGiCzuHFFDKcZaGSPE,314,352241
Astana,XSq,"iJKvSkVBKis ",787,795278
Boston,HhK,OFcHPvffyUlvmkOHEaXV,919,697582
Roseau,PIcsn,hMbIJT,699,101939
Guatemala City,WxKWy,MUOBBxdfVuYxVBpQZJbD,23,305782
Mwanza,wC,vHOUuhZNrUaGOle,40,541300
Helsinki,Z H,vXmB sQWouIRwbAwBJ,469,168125
Mendoza,pFOO,Dc,703,646451
Seattle,BKxWl,GiUaWsrjl,696,687062
Naples,JijgK,ZcBRzpegsu,215,561367
Cali,Zuo,nHnZOMBEaMSFwL,907,781868
Nuuk,ffng,eyMJCi,99,729559
Maceió,rLDk,uNNlrxW,368,348013
Palma,ZmNg," pUVMLDyQ",609,530124
Palembang,FiP,dnocZAPGuLYaJ,488,508713
South Tarawa,zwwR,EpLMz,774,309223
Ludhiana,IWfWo,DvrNDJUtgT GnnfiZGqg,294,85089
Minneapolis,rZ,pStAu,690,665358
Dalian,ZD,IYwer,304,586648
Dubai,pIzp,HYzMkQsIrb,894,541105
Brisbane,uQXog,quyQVIyPqYm,558,227135
Vladivostok,uMa,BbNigTTUOBbjAH,693,729959
Baghdad,Zike,uSFWcan,416,65415
Kobe,QKo,AmPrZTYDfdqfEHP,904,474567
Vaduz,ec,fZLaxq  IwZKp,782,968550
Rome,Do,poRNRcyQiEjt,821,217075
Cleveland,UEC,JHASuDI,631,73888
Kanpur,yvXV,xiRD pNWwvCt,189,585130
Dededo,UpY,X bfZenXBwywl gVwfC,634,297188
Nassau,xyP,GKEzyxiKmlPs,508,910295
Sukhumi,PASqe,BkiPqLrzZ,345,923326
Moroni,ZIJH,pFLUFIsuFoSEzi m T,926,663224
City of San Marino,UI,WCPOBmsN Gl,134,90488
Tampere,MQ,YEXCqrzfGA,287,471231
Port Blair,zZ,ILJsWgKotMyWmwzu,106,278533
Bahía Blanca,Uq,aHKIEsBsOZVUQONL,435,301953
Miri,mIJY,WBgXb QjidqJb,469,751909
Siem Reap,TR,"laAnvhg ",765,75091
Gaza,cRD,BbnYpCOhXzLVyesY,794,165991
Nukulaelae,jYd,WYdv,13,784181
Chengdu,FxTm,aVll,710,315926
Winnipeg,ka,SugdFWvgm,911,403580
Regina,wAGY,"sBJG ",352,465736
Bloemfontein,cxGku,SOWvpwakkcuQYfMgQ,38,791853
Banda Aceh,immM,oNvc,699,10724
Bratsk,Mp,djfLaMQb,692,928836
Barcelona,hAjos,yysjiPK,382,363208
Ürümqi,vDx,JIIBUfFKN,860,869593
Valletta,ZHY,DhSxBbDjTYcKLskESLkT,642,695317
Buenos Aires,TEdM," PAFpRge",911,605876
Arbil,yXiC,vnbQcluuQdYJcbsvO,615,343729
Yerevan,EtM,dpqB,359,463514
Longyearbyen,lSqG,nDhPXETRWN,663,112679
Port of Spain,OWTKb,Ib EWD,936,410246
San Salvador,AcRfn,fHLhKVIzKthI,33,549445
Marrakech,yYcXf,LjAZwQWfhUDbCpCn,87,436961
Charlotte,LTfAn,EX,38,303463
Dammam,ZevMf,iXSuto,375,168054
Edinburgh,A Mvc,qySmrfgjuQWuaX t P,696,88998
Nanning,mOq,funZrmC,271,647352
Sana'a,EYkXB,nyHf ipleKxiYT,877,574399
Ludhiana,emY,ksYXQTXuHTK,720,441766
Multan,Sgbi,jHbYmwqfCZIW,12,371517
Accra,dFtC,tShJQdEbVnc,309,996675
Taiyuan,GtW,fLgYEoAJj,628,83780
Kota Bharu,OzfPi,WYUwZPleptUkn,3,255321
Minsk,NDWR,Cgz,983,610867
Norilsk,LYQOU,tOepaCYYZBrsOH,846,626666
Miri,uAIvL,OiGizehgD M,147,650625
Salzburg,RMlg,XGmgeiAhVYW,150,678815
Makati City,WwpG,qpGnlwUYFaOQZWaEqSls,35,747385
Virginia Beach,pi,gEEgryPrDncBTewiXZ,759,211701
Atlanta,WJ,jfgRegcmnVHa,281,821870
Phnom Penh,AfPfL,SyeloNEoWwvMSOT,845,453498
Murmansk,NS,aGl,777,997811
Lanzhou,kHHH,mkoTIKLeTusZk,659,514016
Tórshavn,BTIAj," dovBYeefwK",492,149414
Thimphu,ZPem,KHWxrNAkYgyZmTDy,324,779501
Surat,xQ,tTyPEcSsX,654,321629
San Antonio," ZfH",LTsgYUSTqnKCuM Iu,668,609119
Pekanbaru,dUSok,ZmuFhnSqpA,729,662181
Faisalabad,sjms,dJtGWHCjNlDUZfUwgSfK,157,243594
Kunming,splgj,qAwQuVcfElgynQpot,454,99148
Suva,NnNA,GSBqlzVDvhDPhh,208,779987
Tokyo,"lii ",xhXgoRTHRMReQUPsD,893,21307
Saint-Denis,vkX,UUEBpAUoqo,40,245715
Iquique,av,kLcgvCQh,17,329011
Phuket (city),zn,rjfwuuCYjIujtu,485,812821
Sapporo,rHrq,QmmMG DRDdthytANw,648,702647
Gold Coast,tnAN,rKSeQDZmpwSOHVNzEkZD,403,361456
Riverside," I",TtiLQVxU qpSiM,895,363563
Greenwich,LAnw,NnojGlHxvWlpWmpnIh,772,543956
Palma,Nhw,VIKRSseW,773,804015
Iloilo City,kyl,DUfMqqKqENaeJDYhtEZ,504,162382
Ottawa,Jw,OeqsQkVJxY,980,717389
Gaziantep,yz,gioIMmVIYaoRWThz,216,123271
Caracas,Wdur,srjgumbiznwkF QttU,55,501849
Balikpapan,BEX,UDjr,658,371215
Abu Dhabi,XkPIL,KjIciOVbQaxGEvAfk,651,23060
Maseru,RhtVe,yeQITpdlsy,702,255161
Miami,YD oq,lTqmHWYMvuBM,767,717835
Buenos Aires,cX,vZKRGWXZGM LsfDHFL,366,515167
Osaka,gY,jpnOjIcC,768,858903
Boa Vista,eAkWd,sIYznj UCaevzXm,359,456626
Belize City,Hf,BeHuFcAudnpDBPii,807,523011
Lusaka,LJ,PBJD,106,194370
Pristina,"nHVw ",fbMRjtomuhPTyhJgD,237,747661
Djibouti (city),EQzj,PFDRyuwQVgNfwdFp,174,367318
Kigali,OqHu,BqWuKQXSoZLr,408,465833
Apia,ltkcm,sWrPlDAggQgSzu,112,135723
Shigatse,Ow,FVgcqbjfZyaXvjk,340,483313
Perm,hk,qH,71,286450
Macau,vxouu,SBRyPbJefCYtCVsn,125,382121
New Orleans,Oojk,RhTBZa,152,182638
Marrakech,lWv,DmRjY,627,478443
Ponta Delgada,El J,BXhv AyJerMDrKkL,593,819754
Linz,FEKs,yCRray EZZZLegP,969,577707
Düsseldorf,IvU,kkiLauqSunFslPF,203,525846
Tehran,xAj,aBNOTiWApGmepIkddk,909,313771
Kolkata,tk,BsKsuBIjFf,674,452949
Townsville,"j ",KgqFGeWI,941,132334
Abuja,IEYC,cZUzkn,878,111071
Cologne,kl,ncZHVvCjTdxAo,581,898610
Willemstad,cA,dumkakLn,588,501618
Oranjestad,htcA,usQjZqpnMnkRvFmwjhEv,71,351705
Greenwich,LVcc,zEybA  p i,484,304428
Saskatoon,HD Nr,yorGetjZDGImhtBhI,299,927904
Nagpur,iOqpH,zLUZKPppuUyFNXhh,961,119460
Abidjan,oFLc,VJqfrpN,349,614672
Hangzhou,VW,tgFOBZutM,551,293744
Vladivostok,VbDyc,xcDwLlnZV,863,966244
Dallas,mn,ffseNz,855,717771
Cleveland,ZuHfe,iMEOXTJJ,902,124058
Nizhny Novgorod,ZrjrF,DUWLCfXflIqXBnwcnwq,683,365284
Medan,LdR,qWY,173,724357
Namangan,zkDoJ,yvYerLvhLCBvXU,526,717579
Luanda,pnK,nyMQhlK,633,939323
Saint Petersburg,pm,OcJlpsgCc VOsSqSwyju,120,186851
Port Elizabeth,DBLV,mfcoIY PeYVxseWWxjLD,331,860150
Leipzig,zS,juKqbgj,253,408117
Santiago,Obhh,girnshlhopJnseXMpxM,794,939611
Cebu City,uBMF,FNRVdZOb,831,215336
Cotonou,pK,CRINheEl,134,994696
Kandahar,cbdC,UN BvPypwzMdYheTRQ,534,381280
Enugu,XxTLG,VWSujToPYiIwNpH,541,992124
Iquique,eYW,uGv,183,43107
Liverpool,bKTv,Sg,606,615531
Brazzaville,dF,UEFLKiuKZaiZlH muOav,634,190092
Fukuoka,Yx,luacoFI,858,277077
Chişinău,AF,"QuvQKxs ",194,863988
Innsbruck,ltbDZ,XCErZScIJR,87,514549
Brussels,fL,CD,628,595670
Chennai,AVHhv,GCChpmwV,503,514745
Mwanza,LSaeN,gfcYDIhhOxdyjWUXqpn,947,935516
Washington,JN,XaEPjSoyABh,444,75689
Hanoi,dTTb,EyeFdGGhskaUdz,92,739169
Namangan,QPc,exTWJIGQW,778,298729
Jayapura,BXJuo,ZoNQh,431,94810
Xi'an,Fjb,lm Vjqjm,784,141439
Chennai,HQwP,Caxv,266,776656
Glasgow,NteG,fJWn,131,171478
Hanga Roa,KPFJv,GX,285,34048
Curitiba,eEDW,dgczpsQClNZlB F,832,654260
Cologne,yRry,"Coge ",563,599210
Pelotas,gY,nyJTZUVuyYZ,904,354968
Douala,SV,MxajrOpfnH,998,941214
Srinagar,DnRLd,SGfUpmms,436,323411
Mandurah,Pt,DiNcUKClCgszXTWxn,277,166382
Phuket (city),BYaG,YOdCmKHc,746,344845
Ouagadougou,iAxC,wqCTxFOknlkS,714,544890
Manaus,vWX,zEupoDZsWlohQNu,417,333657
Port Louis,JX,rgj,378,836730
Beijing,aQ,VDctEKDUas,860,926579
Ponta Delgada,THvg,kulknda,987,184551
Bujumbura,HxyH,caiysfBoVjVdjmi,558,575848
Bahía Blanca,OnM,MGIN,305,652892
Tbilisi,IurSv,oow,276,35484
Cusco,qM,DT JS,524,252904
Rabi Island,kCcGU,HTIklIdaWWQPbRBgy,140,865614
Port Louis,iPm,sBfbNk,10,316178
South Tarawa,aEIIB,vHCBXZzgAIzjpC,393,362537
Baltimore,DqcaR,qHbsjSYsnN,875,727565
Praia,FDkY,DQDTOfMDDFLIqqZUNVzY,387,438235
Zamboanga City,ceQS,ALUm,817,722694
Nouméa,EV,AuhK LTxBTVVappeJzO,621,196329
Asmara,qGGj,YoFWgGOtSGwZzRhhIyU,822,76182
Santiago de Cuba,xdY,ayNACjLztPYmtgfSk,511,434290
Faisalabad,rh HE,YDepg,366,316308
Shigatse,rAnT,AuQiTZSZGMMZ,436,916602
Malé,IxR,ZRwxkGoS,852,938902
Cardiff,mW,WDKUNaCS,919,446939
Chennai,fHRN,uakBGdmFfaF,62,283866
Innsbruck,DzC,jyLCG,585,844046
Balikpapan,dg,zabcLL,386,626330
Samara,lwFQ,yXQcLaBSppWmY,915,461300
Damascus,Vos,mtkySE,908,186319
Qingdao,WOX,UfrY,500,572926
Porto Alegre,qxB,hGFFspHXyxSkmTDgtZOc,386,319108
Munich,qs,CWvp,64,706420
Davao City,ESZt,QdViAJmZtIUc,956,456475
Maseru,prc,jNTkuxEw,455,294548
Manaus,TT,bLWxnWRIOnmmOXTnfWqz,667,314256
Charlottetown,yVc,QluaqSLLskYdlpRPgtcG,34,97854
Cusco,fpNcc,ewKaVW,258,81642
Christchurch,mtR,hfvzAbHChOdcvzqOl,949,697603
Marrakech,Smay," hhsbGsGq",586,871418
Gaziantep,Rx,NspootQzK fQEL,293,301984
Nakhon Ratchasima,UMX,ZJZuYeVQEhVUMYhIOrUH,518,923518
Pekanbaru,Lle h,QhhMpaSRB,259,671300
Harare,"eYH ",fIbIGjPNS,162,665544
Tskhinvali,Nfh,DlevoExsovXOKVmlrw,683,33783
Peshawar,OOoB,mnUvfBGiPtGHRtCgGi,831,997249
San Juan,Rxj,wJGZCag,996,443144
Atlanta,eHZZ,YUWNDPCepOusKmo,744,951087
Prague,dI,pkZTTQbM,151,109071
Tiraspol,EfZ,jDks,561,198437
Veracruz,FwUyJ,dyuoznKDWXipvJcQfKL,890,816436
